Collection,Type,Original English label,Japanese,English translation,Quality,Origin,Effect,Translation status,Audit note,Source order
arms,Pistol,Pocket Pistol,懐鉄砲,Pocket Pistol,9,Europe,can useDragoon troops,interpretive,,61
arms,Pistol,Holstered Pistol,腰指筒,Waist-Carried Pistol,8,Europe,can useDragoon troops,interpretive,,62
arms,Pistol,Swanky Pistol,籠筒,Basket-Pattern Gun,7,Europe,can useDragoon troops,needs-review,籠筒 is obscure; do not assume the source's Swanky Pistol is a literal translation.,63
arms,Pistol,Short Pistol,十手鉄砲,Jitte Gun,6,Europe,can useDragoon troops,interpretive,,64
arms,Cannon,Culverin,カルバリン砲,Culverin,10,Europe,can useFieldguns,interpretive,,65
arms,Cannon,Merciful Wolf,仏狼機,Folangji Breech-Loading Gun,10,Europe,can useFieldguns,interpretive,,66
arms,Cannon,Thunderous Cannon,ランタカ砲,Lantaka Cannon,9,Europe,can useFieldguns,interpretive,,67
arms,Cannon,Saker Cannon,セーカー砲,Saker Cannon,9,Europe,can useFieldguns,interpretive,,68
arms,Cannon,Faithful Cannon,雷破山,Thunder-Mountain Breaker,8,Europe,can useFieldguns,needs-review,雷破山 appears to be a named cannon; reading and identification need checking.,69
arms,Cannon,Patriot's Cannon,国崩し,Province Destroyer,8,Europe,can useFieldguns,interpretive,,70
arms,Cannon,Trusty Ordnance,台車砲,Carriage-Mounted Cannon,7,Europe,can useFieldguns,interpretive,,71
arms,Cannon,Heavy Artillery,芝辻砲,Shibatsuji Cannon,7,Europe,can useFieldguns,interpretive,,72
arms,Cannon,Burning Arrow,火矢筒,Fire-Arrow Launcher,6,Europe,can useFieldguns,interpretive,,73
arms,Cannon,Mortar,臼砲,Mortar,6,Europe,can useFieldguns,interpretive,,74
arms,Armor,Talisman Armor,金小札色々威,Gilt Small-Scale Multicolored-Laced Armor,10,Japan,Skill[Block],interpretive,,75
arms,Armor,Solar Armor,小桜韋威鎧,Small-Cherry-Blossom Leather-Laced Armor,10,Japan,Skill[Block],interpretive,,76
arms,Armor,Charm Armor,黒漆塗五枚胴,Black-Lacquered Five-Plate Cuirass,9,Japan,Skill[Block],interpretive,,77
arms,Armor,Barbaric Armor,南蛮胴具足,European-Style Cuirass Armor,9,Europe,Skill[Block],interpretive,,78
arms,Armor,Shifting Armor,藍韋威肩赤鎧,Indigo-Leather-Laced Armor with Red Shoulders,8,Japan,Skill[Block],interpretive,,79
arms,Armor,Fern Armor,片肌脱二枚胴,Bare-Shoulder Two-Plate Cuirass,8,Japan,Skill[Block],interpretive,,80
arms,Armor,Skyfire Armor,金白檀鉄腹巻,Gold Byakudan-Finished Iron Haramaki,7,Japan,Skill[Block],interpretive,,81
arms,Armor,Violet Armor,歯朶具足,Fern Armor,7,Japan,Skill[Block],interpretive,,82
arms,Armor,Fish Scale Armor,金箔置色々威,Gold-Leaf Multicolored-Laced Armor,6,Japan,Skill[Block],interpretive,,83
arms,Armor,Lacquered Armor,紫糸威最上胴,Purple-Cord-Laced Mogami Cuirass,6,Japan,Skill[Block],interpretive,,84
arms,Armor,Shimmering Armor,魚鱗札二枚胴,Fish-Scale Two-Plate Cuirass,5,Japan,Skill[Block],interpretive,,85
arms,Armor,Sapling Armor,熏韋素懸威,Smoked-Leather Simple-Laced Armor,5,Japan,Skill[Block],interpretive,,86
arms,Armor,Scarlet Armor,金陀美具足,Gilded Kindami Armor,4,Japan,Skill[Block],needs-review,金陀美 is a specialized armor finish; gloss is provisional.,87
arms,Armor,Black Bear Armor,萌葱糸素懸威,Bright-Green-Cord Simple-Laced Armor,4,Japan,Skill[Block],interpretive,,88
arms,Armor,Evergreen Armor,朱漆塗桶側胴,Vermilion-Lacquered Tub-Sided Cuirass,3,Japan,Skill[Block],interpretive,,89
arms,Armor,Ebony Armor,惣黒熊毛具足,All-Black Bear-Fur Armor,3,Japan,Skill[Block],interpretive,,90
arms,Armor,Chestnut Armor,樫鳥糸肩赤威,Kashidori-Colored Cord with Red-Shoulder Lacing,2,Japan,Skill[Block],needs-review,The specialist color name 樫鳥 is not confidently identified.,91
arms,Armor,Earthen Armor,黒糸威二枚胴,Black-Cord-Laced Two-Plate Cuirass,2,Japan,Skill[Block],interpretive,,92
arms,Armor,Leather Armor,栗色革仏丸胴,Chestnut-Leather Hotoke-Maru Cuirass,1,Japan,Skill[Block],interpretive,,93
arms,Armor,Simple Armor,鉄地二枚胴,Iron Two-Plate Cuirass,1,Japan,Skill[Block],interpretive,,94
arms,Helmet,Mastercraft Helmet,鹿角脇立兜,Antler Side-Crest Helmet,10,Japan,Skill[Rally],interpretive,,95
arms,Helmet,Corona Helmet,馬藺後立付兜,Iris-Grass Rear-Crest Helmet,10,Japan,Skill[Rally],interpretive,,96
arms,Helmet,Gold Rim Helmet,金銀象嵌兜,Gold-and-Silver-Inlaid Helmet,9,Japan,Skill[Rally],interpretive,,97
arms,Helmet,Gilted Helmet,金覆輪筋兜,Gold-Rimmed Ridged Helmet,9,Japan,Skill[Rally],interpretive,,98
arms,Helmet,Eyeline Helmet,一の谷兜,Ichinotani Helmet,8,Japan,Skill[Rally],interpretive,,99
arms,Helmet,Crescent Helmet,三日月兜,Crescent-Moon Helmet,8,Japan,Skill[Rally],interpretive,,100
arms,Helmet,Silver Inlay Helmet,銀白檀塗兜,Silver Byakudan-Finished Helmet,7,Japan,Skill[Rally],interpretive,,101
arms,Helmet,Water Buffalo Helmet,大水牛脇立兜,Large Water-Buffalo-Horn Helmet,7,Japan,Skill[Rally],interpretive,,102
arms,Helmet,Rival's Helmet,飯綱権現付兜,Iizuna Gongen-Crested Helmet,6,Japan,Skill[Rally],interpretive,,103
arms,Helmet,Peerless Helmet,唐冠形兜,Chinese-Crown-Shaped Helmet,6,Japan,Skill[Rally],interpretive,,104
arms,Helmet,Warlord's Helmet,大釘後立兜,Large-Nail Rear-Crest Helmet,5,Japan,Skill[Rally],interpretive,,105
arms,Helmet,Chief's Helmet,長烏帽子形兜,Tall Eboshi-Shaped Helmet,5,Japan,Skill[Rally],interpretive,,106
arms,Helmet,Swallow's Helmet,燕尾形兜,Swallowtail Helmet,4,Japan,Skill[Rally],interpretive,,107
arms,Helmet,62 Point Helmet,帆立貝前立兜,Scallop Front-Crest Helmet,4,Japan,Skill[Rally],interpretive,,108
arms,Helmet,Hardened Helmet,鯰尾兜,Catfish-Tail Helmet,3,Japan,Skill[Rally],interpretive,,109
arms,Helmet,22 Point Helmet,六十二間筋兜,62-Plate Ridged Helmet,3,Japan,Skill[Rally],interpretive,,110
arms,Helmet,12 Point Helmet,十二間筋兜,12-Plate Ridged Helmet,2,Japan,Skill[Rally],interpretive,,111
arms,Helmet,Smithy's Helmet,二十二間筋兜,22-Plate Ridged Helmet,2,Japan,Skill[Rally],interpretive,,112
arms,Helmet,Leather Helmet,椎実形兜,Chinquapin-Nut-Shaped Helmet,1,Japan,Skill[Rally],interpretive,,113
arms,Helmet,Kabuto Helmet,鉄錆地筋兜,Rust-Finished Iron Ridged Helmet,1,Japan,Skill[Rally],interpretive,,114
arms,Horse,Matsukaze,松風,Matsukaze (Pine Wind),10,Japan,retreats always succeed,interpretive,,115
arms,Horse,Vermillion Horse,帝釈栗毛,Taishaku Chestnut Horse,10,Japan,retreats always succeed,interpretive,,116
arms,Horse,Dark Cloud,黒雲,Black Cloud,9,Japan,retreats always succeed,interpretive,,117
arms,Horse,Moon Child,放生月毛,Hōjō Tsukige (Pale-Cream Horse),9,Japan,retreats always succeed,needs-review,The compound 放生月毛 may be a proper horse name; literal interpretation is uncertain.,118
arms,Horse,Arabian Horse,アラブ馬,Arabian Horse,8,Europe,retreats always succeed,interpretive,,119
arms,Horse,3 Kingdom Horse,三国黒,Three-Kingdom Black,8,Japan,retreats always succeed,interpretive,,120
arms,Horse,Palomino,鬼芦毛,Demon Dapple-Gray,7,Japan,retreats always succeed,interpretive,,121
arms,Horse,Onikage,鬼鹿毛,Onikage (Demon Bay),7,Japan,retreats always succeed,interpretive,,122
arms,Horse,Go-Lucky Horse,小鹿毛,Light Bay,6,Japan,retreats always succeed,interpretive,,123
arms,Horse,Obsidian,百里黒,Hundred-League Black,6,Japan,retreats always succeed,interpretive,,124
arms,Horse,Alabaster Horse,大芦毛,Large Dapple-Gray,5,Japan,retreats always succeed,interpretive,,125
arms,Horse,Stary Horse,星河原毛,Starry Dun Horse,5,Japan,retreats always succeed,interpretive,,126
arms,Horse,Ebony Horse,白石,White Stone,4,Japan,retreats always succeed,interpretive,,127
arms,Horse,Crimson Horse,遠江鹿毛,Tōtōmi Bay,4,Japan,retreats always succeed,interpretive,,128
arms,Horse,Beige Horse,大鹿毛,Dark Bay,3,Japan,retreats always succeed,interpretive,,129
arms,Horse,Ivory Horse,小雲雀,Little Skylark,3,Japan,retreats always succeed,interpretive,,130
arms,Horse,White Horse,桜野,Cherry-Blossom Field,2,Japan,retreats always succeed,interpretive,,131
arms,Horse,Black Horse,太平楽,Taiheiraku (Peaceful Pleasure),2,Japan,retreats always succeed,interpretive,,132
arms,Horse,Pale Horse,粕毛,Kasuge (Pale/Dappled Coat),1,Japan,retreats always succeed,needs-review,The exact coat-color terminology of 粕毛 should be verified.,133
arms,Horse,Ginger Horse,星崎,Hoshizaki (Star Cape),1,Japan,retreats always succeed,interpretive,,134
art,Painting,8 Fold Painting,瀟湘八景図,Eight Views of Xiaoxiang,10,China,Charm + 10,interpretive,,0
art,Painting,Famous Painting,破墨山水図,Splashed-Ink Landscape,9,Japan,Charm + 9,interpretive,,1
art,Painting,Cloth Bag Painting,布袋図,Budai (Cloth-Sack Monk),8,China,Charm + 8,interpretive,,2
art,Painting,Daruma Painting,松下達磨図,Daruma Beneath the Pine,7,China,Charm + 7,interpretive,,3
art,Painting,Landscape Painting,松鷹図,Pine and Hawk,6,Japan,Charm + 6,interpretive,,4
art,Painting,Mercy Painting,観音図,Kannon (Bodhisattva of Compassion),5,China,Charm + 5,interpretive,,5
art,Painting,Stone Iris Painting,石菖蒲図,Sweet Flag (Stone Iris),4,China,Charm + 4,interpretive,,6
art,Painting,Night Dew Painting,芭蕉夜雨図,Banana Plant in Night Rain,3,Japan,Charm + 3,interpretive,,7
art,Painting,Reader's Painting,竹斎読書図,Reading in the Bamboo Study,2,China,Charm + 2,interpretive,,8
art,Painting,Chestnut Painting,栗柿図,Chestnuts and Persimmons,1,China,Charm + 1,interpretive,,9
art,Art,Heron Art,白鷺図,White Heron,10,China,Charm + 10,interpretive,,10
art,Art,Four Petal Art,四季花鳥図,Birds and Flowers of the Four Seasons,9,Japan,Charm + 9,interpretive,,11
art,Art,Pastry Art,菓子図,Confectionery,8,China,Charm + 8,interpretive,,12
art,Art,Buddhist Tome Art,釈迦説法図,The Buddha Preaching,7,Japan,Charm + 7,interpretive,,13
art,Art,Rice Art,網干図,Drying Fishing Nets,6,Japan,Charm + 6,interpretive,,14
art,Art,Duck Art,鴨図,Duck,5,China,Charm + 5,interpretive,,15
art,Art,Rough Seas Art,波濤図,Rough Seas,4,Japan,Charm + 4,interpretive,,16
art,Art,Sparrow Art,稲雀図,Sparrows Among Rice Stalks,3,China,Charm + 3,interpretive,,17
art,Art,Red Plum Art,紅梅図,Red Plum Blossoms,2,Japan,Charm + 2,interpretive,,18
art,Art,Sunset Art,夕陽朝山図,Sunset over Morning Mountain,1,China,Charm + 1,needs-review,The compound 朝山 is uncommon; this rendering is provisional.,19
art,Sweets(笑),Walnut Cake,胡桃餅,Walnut Rice Cake,10,Japan,Skill[Rally],interpretive,,20
art,Sweets(笑),Barley Candy,麦落雁,Barley Rakugan Sweets,9,Japan,Skill[Rally],interpretive,,21
art,Sweets(笑),Castella,カステラ,Castella Sponge Cake,8,Europe,Skill[Rally],interpretive,,22
art,Sweets(笑),Sweet Jelly,薄墨羊羹,Usuzumi Yōkan (Sweet Bean Jelly),7,Japan,Skill[Rally],interpretive,,23
art,Sweets(笑),Senbei,寿煎餅,Celebratory Rice Crackers,6,Japan,Skill[Rally],interpretive,,24
art,Sweets(笑),Biscuit,ビスケット,Biscuits,5,Europe,Skill[Rally],interpretive,,25
art,Sweets(笑),Willow Treat,青柳,Aoyagi (Green Willow),4,Japan,Skill[Rally],interpretive,,26
art,Sweets(笑),Moon Sweets,朧月,Oborozuki (Hazy Moon),3,Japan,Skill[Rally],interpretive,,27
art,Sweets(笑),Plain Candy,金平糖,Konpeitō (Sugar Candy),2,Europe,Skill[Rally],interpretive,,28
art,Sweets(笑),Sugar,吐月糖,Togetsutō Sugar Confection,1,Japan,Skill[Rally],needs-review,"A named confection; this is a phonetic rendering, not a literal translation.",29
art,Jizake,Rose Wine,薔薇葡萄酒,Rose Wine,10,Europe,Skill[Confuse],interpretive,,30
art,Jizake,Whiskey,アクアヴィテ,Aqua Vitae (Distilled Spirit),9,Europe,Skill[Confuse],interpretive,,31
art,Jizake,Sparkling Wine,発泡酒,Sparkling Wine,8,Europe,Skill[Confuse],interpretive,,32
art,Jizake,White Wine,白葡萄酒,White Wine,7,Europe,Skill[Confuse],interpretive,,33
art,Jizake,Cognac,菩提泉,Bodaisen Sake,6,Japan,Skill[Confuse],interpretive,,34
art,Jizake,Cider,多武峯,Tōnomine Sake,5,Japan,Skill[Confuse],interpretive,,35
art,Jizake,Red Wine,赤葡萄酒,Red Wine,4,Europe,Skill[Confuse],interpretive,,36
art,Jizake,Ale,泡盛,Awamori (Okinawan Distilled Spirit),3,Japan,Skill[Confuse],interpretive,,37
art,Jizake,Mead,豊原,Toyohara Sake,2,Japan,Skill[Confuse],needs-review,Name of a sake rather than a literal reference to an abundant field; reading provisional.,38
art,Jizake,Beer,麦酒,Beer,1,Europe,Skill[Confuse],interpretive,,39
art,Scented Wood,Agarwood,蘭奢待,Ranjatai (Celebrated Agarwood),10,Japan,Skill[Calm],interpretive,,40
art,Scented Wood,Princewood,太子,Taishi (Prince),10,China,Skill[Calm],interpretive,,41
art,Scented Wood,Dustcloud Wood,紅塵,Kōjin (Red Dust),9,China,Skill[Calm],needs-review,Traditional literary phrase 'red dust'; reading may vary.,42
art,Scented Wood,Rosewood,三芳野,Miyoshino,9,China,Skill[Calm],interpretive,,43
art,Scented Wood,Young Agarwood,逍遙,Shōyō (Wandering Freely),8,China,Skill[Calm],interpretive,,44
art,Scented Wood,Nutmeg,楊貴妃,Yōkihi (Yang Guifei),8,China,Skill[Calm],interpretive,,45
art,Scented Wood,Autumn Maple,紅葉賀,Momijiga (Autumn-Leaf Celebration),7,China,Skill[Calm],interpretive,,46
art,Scented Wood,Aged Cedar,花散里,Hanachirusato (Village of Falling Flowers),7,China,Skill[Calm],interpretive,,47
art,Scented Wood,Young Rosewood,十五夜,Jūgoya (Fifteenth Night),6,China,Skill[Calm],interpretive,,48
art,Scented Wood,Late Rain Wood,夕時雨,Yūshigure (Evening Shower),6,China,Skill[Calm],interpretive,,49
art,Scented Wood,Young Nutmeg,富士煙,Fujikemuri (Mount Fuji Smoke),5,China,Skill[Calm],interpretive,,50
art,Scented Wood,Harvest Wood,般若,Hannya (Prajñā),5,China,Skill[Calm],interpretive,,51
art,Scented Wood,Young Maple,飛梅,Tobiume (Flying Plum),4,China,Skill[Calm],interpretive,,52
art,Scented Wood,Smoky Wood,名月,Meigetsu (Bright Moon),4,China,Skill[Calm],interpretive,,53
art,Scented Wood,Frosty Wood,須磨,Suma,3,China,Skill[Calm],interpretive,,54
art,Scented Wood,Young Cedar,隣家,Rinka (Neighboring House),3,China,Skill[Calm],interpretive,,55
art,Scented Wood,Relaxing Wood,霜夜,Shimoyo (Frosty Night),2,China,Skill[Calm],interpretive,,56
art,Scented Wood,Pinewood,寝覚,Nezame (Waking from Sleep),2,China,Skill[Calm],interpretive,,57
art,Scented Wood,Beechwood,篠目,Shinome (Bamboo-Shoot Eye),1,China,Skill[Calm],needs-review,Reading of this named incense wood requires confirmation.,58
art,Scented Wood,Balsa Wood,上馬,Jōba (Mounted Horse),1,China,Skill[Calm],needs-review,Reading of this named incense wood requires confirmation.,59
books,Swordsman Scroll,Book of 5 Rings,香取神道流書,Katori Shintō-ryū Swordsmanship Manual,10,Japan,Skill[Taunt],interpretive,,0
books,Swordsman Scroll,Shinkage Scroll,新陰百首,One Hundred Shinkage Verses,9,Japan,Skill[Taunt],interpretive,,1
books,Swordsman Scroll,Twin Edge Scroll,陰流之私,Secret Teachings of Kage-ryū,8,Japan,Skill[Taunt],interpretive,,2
books,Swordsman Scroll,Shinto Scroll,五輪書,The Book of Five Rings,7,Japan,Skill[Taunt],interpretive,,3
books,Swordsman Scroll,Imperial Scroll,平法口決,Oral Secrets of Strategy,6,Japan,Skill[Taunt],interpretive,,4
books,Swordsman Scroll,Lone Sword Scroll,一刀流口伝書,Oral Teachings of Ittō-ryū,5,Japan,Skill[Taunt],interpretive,,5
books,Swordsman Scroll,Duelist's Scroll,田宮流居合書,Tamiya-ryū Iaijutsu Manual,4,Japan,Skill[Taunt],interpretive,,6
books,Swordsman Scroll,Defensive Scroll,夕雲流剣術書,Sekigumo-ryū Swordsmanship Manual,3,Japan,Skill[Taunt],interpretive,,7
books,Swordsman Scroll,Warrior's Scroll,平常無敵書,Heijō Muteki Manual,2,Japan,Skill[Taunt],interpretive,,8
books,Swordsman Scroll,Page's Scroll,本朝武芸小伝,Brief Biographies of Japanese Martial Artists,1,Japan,Skill[Taunt],interpretive,,9
books,Scroll of Farming,Harvest Scroll,農業全書,Complete Book of Agriculture,10,Japan,Politics + 10,interpretive,,10
books,Scroll of Farming,Agriculture Tome,農政全書,Complete Book of Agricultural Administration,9,China,Politics + 9,interpretive,,11
books,Scroll of Farming,Farmer's Scroll,農具便利論,Treatise on the Utility of Farming Implements,8,Japan,Politics + 8,interpretive,,12
books,Scroll of Farming,Fertilizer Scroll,広益国産考,Studies for Improving Domestic Production,7,Japan,Politics + 7,interpretive,,13
books,Scroll of Farming,Seiryō Chronicle,清良記,Seiryō Chronicle,6,Japan,Politics + 6,interpretive,,14
books,Scroll of Farming,Locust Scroll,除蝗録,Record of Locust Eradication,5,Japan,Politics + 5,interpretive,,15
books,Scroll of Farming,Heritage Scroll,家業伝,Family Trade Traditions,4,Japan,Politics + 4,interpretive,,16
books,Scroll of Farming,Irrigation Scroll,会津農書,Aizu Agricultural Manual,3,Japan,Politics + 3,interpretive,,17
books,Scroll of Farming,Traveler's Scroll,南遊紀行,Account of Travels in the South,2,Japan,Politics + 2,interpretive,,18
books,Scroll of Farming,Grassy Scroll,毛吹草,Kefukigusa (Grass-Blown Sayings),1,Japan,Politics + 1,interpretive,,19
books,Scroll of Commerce,Economics Diary,経済録,Record of Economics,10,Japan,Politics + 10,interpretive,,20
books,Scroll of Commerce,Sōkyū Imai Diary,今井宗久日記,Diary of Imai Sōkyū,9,Japan,Politics + 9,interpretive,,21
books,Scroll of Commerce,Diary of Routes,蔭凉軒日録,Inryōken Daily Record,8,Japan,Politics + 8,needs-review,The established title is Inryōken Nichiroku.,22
books,Scroll of Commerce,Diary of Mistakes,島井宗室訓戒,Admonitions of Shimai Sōshitsu,7,Japan,Politics + 7,interpretive,,23
books,Scroll of Commerce,Merchant's Diary,町人考見録,Observations on Townspeople,6,Japan,Politics + 6,interpretive,,24
books,Scroll of Commerce,Sōtan Diary,宗湛日記,Diary of Sōtan,5,Japan,Politics + 5,interpretive,,25
books,Scroll of Commerce,Umezu Diary,梅津政景日記,Diary of Umezu Masakage,4,Japan,Politics + 4,interpretive,,26
books,Scroll of Commerce,Diary of Rivers,松屋筆記,Matsuya Notes,3,Japan,Politics + 3,interpretive,,27
books,Scroll of Commerce,Diary of Ideas,中島両以記文,Writings of Nakajima Ryōi,2,Japan,Politics + 2,interpretive,,28
books,Scroll of Commerce,Diary of Debts,身自鏡,Mirror of Oneself,1,Japan,Politics + 1,interpretive,,29
books,Building Manual,Fortification Guide,築城記,Record of Castle Construction,10,Japan,Politics + 10,interpretive,,30
books,Building Manual,Formulae Manual,秘伝軍礼聞書,Secret Military Ceremonial Teachings,9,Japan,Politics + 9,needs-review,Reading and title need confirmation.,31
books,Building Manual,Artisan's Manual,愚子見記,Gushikenki (Artisan's Records),8,Japan,Politics + 8,needs-review,Commonly titled Gushikenki; source transcription may vary.,32
